id,question,gold_answer,model_answer,true_label
JPM/2008/page_85.pdf-3,what was jpmorgan chase & co's common equity tier 1 ( cet1 ) ratio in 2008?,10.94%,3,HALLUCINATED
MRO/2007/page_149.pdf-2,"if current development costs increased in 2008 as much as in 2007 , what would the 2008 total be , in millions?",2057,NOT_ANSWERABLE,HALLUCINATED
DVN/2007/page_58.pdf-3,what percentage of the total oil and gas mmboe comes from canada?,24.69%,0,HALLUCINATED
C/2017/page_328.pdf-1,what was the percentage cumulative total return for the five year period ended 31-dec-2017 of citi common stock?,93.50%,5,HALLUCINATED
UNP/2008/page_77.pdf-1,"as of december 31 , 2008 what was the percent of the total accounts payable and other liabilities that was accrued wages and vacation",14.30%,4,HALLUCINATED
PNC/2013/page_62.pdf-2,in millions what was total residential mortgages balance for 2013 and 2012?,3576,0,HALLUCINATED
ZBH/2003/page_58.pdf-3,what percent of inventory is ready for liquidation ( sale ) in 2003?,72.83%,7,HALLUCINATED
INTC/2013/page_33.pdf-2,what was the percent of the impairment charges to the net revenue in 2013,0.50%,1.72696E+16,HALLUCINATED
ETR/2004/page_213.pdf-2,what are the deferred fuel cost revisions as a percentage of the increase in fuel cost recovery revenues?,60.30%,5.93836E+15,HALLUCINATED
PM/2014/page_67.pdf-2,"what was the total of euro notes issued in 2014 , in millions of dollars approximately?",3098,2401,HALLUCINATED
GIS/2012/page_64.pdf-2,what portion of the total notes payable comes from u.s . commercial paper?,78.30%,8,HALLUCINATED
PM/2015/page_127.pdf-4,what was the average currency translation adjustments from 2013 to 2015 in millions?,-6806,67,HALLUCINATED
CB/2010/page_200.pdf-4,in 2010 what was the ratio of the statutory capital and surplus to the statutory net income,4.9\\n,8,HALLUCINATED
PNC/2009/page_46.pdf-2,share of total securities rated bbb/baa or below changed by how many percentage point between 2008 and 2009?,-1,0,HALLUCINATED
ABMD/2009/page_88.pdf-1,what are the total contingent payments relating to impella?,5583331,11166667,HALLUCINATED
ABMD/2009/page_56.pdf-1,"what are the total contractual commitments , in millions?",40294,147,HALLUCINATED
IP/2006/page_32.pdf-1,in 2006 what percentage of consumer packaging sales were represented by foodservice net sales?,16%,0,HALLUCINATED
STZ/2006/page_68.pdf-1,what is the current ratio of robert mondavi?,1.7,NOT_ANSWERABLE,HALLUCINATED
AMT/2005/page_85.pdf-1,what was the increase in long-term debt between 2004 and 2005 in thousands?,296048,296352,GROUNDED
AAL/2015/page_118.pdf-2,what were total operating expenses as a percentage of revenue in 2013?,93.80%,NOT_ANSWERABLE,HALLUCINATED
PNC/2009/page_46.pdf-1,"if there were 50 facilities being rated in 2009 , how many were bbb/baa?",1,2,HALLUCINATED
LMT/2013/page_74.pdf-1,what was the average number of weighted average common shares outstanding for diluted computations from 2011 to 2013,331.6,2,HALLUCINATED
UNP/2015/page_24.pdf-1,what was the ratio of the free cash flow to the cash provided by operating activities in 2015,0.07,7.13492E+15,HALLUCINATED
ADBE/2018/page_86.pdf-1,what is the percentage change in total gross amount of unrecognized tax benefits from 2017 to 2018?,13.40%,6.69231E+15,HALLUCINATED
AMAT/2014/page_18.pdf-2,"what are the total sales reported in 2012 , ( in billion ) ?",8.6,NOT_ANSWERABLE,HALLUCINATED
